Nombre,Equipo,Nacionalidad,ACS,Kills/Round,Deaths/Round,Open Kills/Round,Headshots/Round,Kill cost,Mejor mapa (ACS),Peor mapa (ACS),Rol recomendado
starki,Enterprise Esports,Czechia,190.0,0.66,0.69,0.08,0.6,4900,Split (200),Lotus (175),Initiator
jas,Enterprise Esports,Czechia,182.0,0.63,0.68,0.06,0.57,4950,Bind (192),Pearl (170),Controller
zeek,Enterprise Esports,Poland,210.0,0.72,0.7,0.11,0.66,4800,Fracture (220),Breeze (185),Duelist
Doma,Enterprise Esports,UK,200.0,0.68,0.69,0.09,0.61,4850,Ascent (210),Icebox (180),Flex
Kiles,Enterprise Esports,Spain,185.0,0.64,0.68,0.07,0.58,4950,Haven (195),Sunset (170),Sentinel
Nami,GIANTX GC,Spain,208.0,0.71,0.7,0.1,0.65,4820,Breeze (218),Pearl (190),Duelist
sarah,GIANTX GC,Spain,192.0,0.66,0.69,0.08,0.6,4900,Ascent (202),Lotus (176),Initiator
eva,GIANTX GC,Spain,180.0,0.62,0.67,0.05,0.56,5000,Bind (190),Icebox (165),Controller
ness,GIANTX GC,Spain,184.0,0.63,0.68,0.06,0.57,4950,Split (194),Sunset (170),Sentinel
Smurfette,GIANTX GC,Turkey,212.0,0.72,0.7,0.11,0.66,4800,Fracture (222),Haven (185),Duelist
Liza,SK Nebula,Germany,205.0,0.7,0.69,0.1,0.64,4800,Split (215),Icebox (180),Duelist
Joliinaa,SK Nebula,Germany,188.0,0.64,0.67,0.07,0.58,4950,Ascent (198),Pearl (170),Initiator
devilasxa,SK Nebula,Germany,176.0,0.61,0.67,0.06,0.55,5000,Bind (185),Haven (160),Controller
jademwah,SK Nebula,Germany,183.0,0.63,0.68,0.06,0.56,4980,Lotus (193),Sunset (170),Sentinel
PuriTy,SK Nebula,Germany,190.0,0.66,0.69,0.08,0.6,4900,Fracture (200),Breeze (175),Flex
Loita,BBL PCIFIC,Turkey,198.0,0.67,0.69,0.09,0.61,4880,Split (208),Pearl (180),Duelist
Crewen,BBL PCIFIC,Turkey,185.0,0.64,0.68,0.07,0.58,4950,Ascent (195),Lotus (170),Initiator
Rose,BBL PCIFIC,Turkey,176.0,0.61,0.67,0.06,0.55,5000,Bind (186),Haven (160),Controller
Lar0k,BBL PCIFIC,Turkey,182.0,0.63,0.68,0.06,0.56,4980,Lotus (192),Sunset (170),Sentinel
lovers_rock,BBL PCIFIC,Turkey,190.0,0.66,0.69,0.08,0.6,4900,Fracture (200),Breeze (175),Flex
nekky,ULF Esports,Spain,205.0,0.7,0.69,0.1,0.64,4800,Split (215),Icebox (180),Duelist
Favian,ULF Esports,Spain,188.0,0.64,0.67,0.07,0.58,4950,Ascent (198),Pearl (170),Initiator
echo,ULF Esports,Spain,176.0,0.61,0.67,0.06,0.55,5000,Bind (185),Haven (160),Controller
audaz,ULF Esports,Spain,183.0,0.63,0.68,0.06,0.56,4980,Lotus (193),Sunset (170),Sentinel
s0pp,ULF Esports,Spain,190.0,0.66,0.69,0.08,0.6,4900,Fracture (200),Breeze (175),Flex
Keiko,Team Liquid,UK,220.0,0.75,0.7,0.11,0.66,4780,Split (230),Pearl (190),Duelist
kamo,Team Liquid,Poland,188.0,0.64,0.68,0.08,0.59,4900,Ascent (198),Lotus (170),Initiator
nAts,Team Liquid,Russia,182.0,0.63,0.67,0.06,0.57,4950,Haven (192),Breeze (170),Sentinel
paTiTek,Team Liquid,Poland,180.0,0.62,0.67,0.05,0.56,5000,Fracture (190),Sunset (165),Controller
trexx,Team Liquid,Russia,195.0,0.67,0.68,0.09,0.6,4850,Bind (205),Icebox (175),Flex
